stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
4-207,207,Lavoisier,47.283783,5.044046,1
4-512,512,Palissy,47.286636,5.017338,0
4-473,473,Les Jardins,47.335278,5.075758,0
4-474,474,Les Buttes,47.337551,5.080442,1
4-1307,1307,Meix Pillon,47.352364,4.994242,1
4-355,355,SNCF Vincenot,47.322227,5.02737,1
4-353,353,Albert 1er,47.322418,5.019199,1
4-352,352,CH La Chartreuse,47.322197,5.01122,1
4-351,351,Gorgets,47.320286,5.008623,0
4-348,348,Bachelard,47.318645,5.00134,1
4-345,345,Belin,47.321098,4.99957,1
4-438,438,Jura,47.341988,5.027161,0
4-439,439,Ranelagh,47.34174,5.029306,0
4-445,445,Hoin,47.333458,5.033999,0
4-753,753,Beaune,47.331421,5.038464,0
4-312,312,Mare,47.343582,5.015906,1
4-313,313,Les Créots,47.341782,5.014756,0
4-791,791,Combottes,47.339737,5.017169,1
4-316,316,Amandiers,47.337639,5.023075,0
4-320,320,Rouen,47.33065,5.032851,0
4-779,779,Dubois,47.325298,5.03233,1
4-71,71,Chaumière,47.336555,5.012733,1
4-70,70,Herriot,47.337646,5.010722,1
4-68,68,Moulissards,47.342808,4.999566,1
4-67,67,Nachey,47.34166,4.997417,1
4-65,65,Picasso,47.337353,4.994104,1
4-63,63,Rétisseys,47.338554,4.991211,1
4-161,161,Eiffel,47.280888,5.050487,0
4-513,513,Route de Beaune,47.287453,5.014376,0
4-515,515,Vieux Bourg,47.291512,5.003547,0
4-219,219,1er Mai,47.314659,5.028842,0
4-217,217,Jaurès,47.310608,5.026573,0
4-216,216,Bourroches,47.305321,5.023608,0
4-523,523,Carraz,47.300152,5.020609,0
4-586,586,Malines,47.34951,5.074038,0
4-593,593,Quignard,47.349701,5.069028,0
4-1074,1074,Colchide,47.356232,5.058938,0
4-993,993,La Flamme,47.345844,4.964427,0
4-994,994,Courtois,47.34407,4.96524,0
4-548,548,Mayence,47.338921,5.064001,1
4-996,996,Victor Hugo,47.340664,4.97062,1
4-997,997,Plombières Mairie,47.339909,4.972847,1
4-998,998,Vallon,47.338795,4.975917,0
4-999,999,Combe aux Fées,47.337524,4.979125,0
4-1002,1002,Seize Vannes,47.331982,4.990488,1
4-1003,1003,Parc à Bateaux,47.32983,4.998363,1
4-1005,1005,CH La Chartreuse,47.322567,5.010841,1
4-1290,1290,Beauregard,47.281265,5.053931,1
4-748,748,Transvaal,47.315395,5.037786,1
4-755,755,Mazières,47.335632,5.03963,1
4-754,754,Houblonnière,47.333179,5.039043,0
4-686,686,1er Mai Foyer,47.315056,5.030371,1
4-873,873,Alger,47.31218,5.032912,0
4-749,749,Petit-Cîteaux,47.315128,5.033895,1
4-871,871,Chevreul Piscine,47.307251,5.043488,1
4-870,870,Chancenotte,47.305962,5.046758,1
4-869,869,Collège Lentillères,47.305256,5.052174,1
4-322,322,Baudin,47.315441,5.045888,1
4-868,868,Péjoces,47.309715,5.058977,0
4-867,867,Mansart,47.312809,5.062483,1
4-1212,1212,Jeanne d'Arc,47.31797,5.065341,0
4-903,903,CHU - Hôpitaux,47.319843,5.065331,1
4-906,906,Laplace,47.332714,5.063115,1
4-983,983,St-Exupéry,47.336864,5.055409,1
4-985,985,Junot,47.339554,5.046317,1
4-200,200,Pierrat,47.282116,5.046819,0
4-764,764,Presles,47.355328,5.034879,0
4-1431,1431,Guesde,47.285145,5.068745,1
4-1619,1619,Chenôve Centre,47.294373,5.005621,1
4-458,458,Rue du Port,47.285759,5.041514,1
4-457,457,Romelet,47.287334,5.039583,0
4-455,455,Bertin,47.293461,5.037445,1
4-1330,1330,L'Ogive,47.294296,5.127227,1
4-1266,1266,Volnay,47.311962,5.014466,1
4-987,987,Terrillon,47.336449,5.032337,1
4-988,988,Suisse,47.334633,5.023361,1
4-1386,1386,Pasteur,47.295273,5.133338,1
4-1335,1335,Molière,47.302204,5.132576,1
4-1067,1067,Collège Rostand,47.31749,5.107909,1
4-1344,1344,Prés Potets,47.355724,5.026793,0
4-117,117,Cromois,47.314552,5.112919,1
4-443,443,St-Martin,47.337769,5.035171,0
4-69,69,La Fillotte,47.340412,5.005154,1
4-436,436,Les Charmes,47.345684,5.024301,1
4-1258,1258,Charton,47.285534,5.019876,1
4-454,454,La Colombière,47.297569,5.039942,0
4-765,765,Les Plantes,47.364784,5.028018,0
4-62,62,Néruda,47.340515,4.989296,1
